CBSA Code,Metro Division Code,Metropolitan statistical areas,Census,Estimates base,2010,2011,2012
10180,,"Abilene, TX","165,252","165,252","165,578","166,481","166,963"
10420,,"Akron, OH","703,200","703,205","703,055","702,854","702,262"
10500,,"Albany, GA","157,308","157,308","157,580","157,668","157,399"
10540,,"Albany, OR","116,672","116,672","116,894","118,135","118,360"
10580,,"Albany-Schenectady-Troy, NY","870,716","870,718","871,081","873,076","874,646"
10740,,"Albuquerque, NM","887,077","887,079","889,568","897,320","901,700"
10780,,"Alexandria, LA","153,922","153,922","154,093","154,379","154,441"
10900,,"Allentown-Bethlehem-Easton, PA-NJ","821,173","821,173","822,055","825,312","827,171"
11020,,"Altoona, PA","127,089","127,074","127,038","127,234","127,121"
11100,,"Amarillo, TX","251,933","251,933","252,686","255,781","257,578"
11180,,"Ames, IA","89,542","89,542","89,600","90,816","91,140"
11260,,"Anchorage, AK","380,821","380,821","383,177","388,038","392,535"
11460,,"Ann Arbor, MI","344,791","344,791","345,350","348,637","350,946"
11500,,"Anniston-Oxford-Jacksonville, AL","118,572","118,572","118,423","117,815","117,296"
11540,,"Appleton, WI","225,666","225,666","225,886","227,318","228,450"
11700,,"Asheville, NC","424,858","424,859","425,558","428,657","432,406"
12020,,"Athens-Clarke County, GA","192,541","192,541","193,538","194,616","196,425"
12060,,"Atlanta-Sandy Springs-Roswell, GA","5,286,728","5,286,732","5,304,665","5,374,678","5,457,831"
12100,,"Atlantic City-Hammonton, NJ","274,549","274,549","274,715","274,810","275,422"
12220,,"Auburn-Opelika, AL","140,247","140,251","140,761","143,580","147,257"
12260,,"Augusta-Richmond County, GA-SC","564,873","564,871","566,781","571,098","575,898"
12420,,"Austin-Round Rock, TX","1,716,289","1,716,286","1,727,661","1,780,708","1,834,303"
12540,,"Bakersfield, CA","839,631","839,631","841,687","849,457","856,158"
12580,,"Baltimore-Columbia-Towson, MD","2,710,489","2,710,489","2,715,586","2,733,678","2,753,149"
12620,,"Bangor, ME","153,923","153,921","153,892","153,930","153,746"
12700,,"Barnstable Town, MA","215,888","215,888","215,959","215,662","215,423"
12940,,"Baton Rouge, LA","802,484","802,480","804,270","808,713","815,298"
12980,,"Battle Creek, MI","136,146","136,146","136,075","135,529","135,099"
13020,,"Bay City, MI","107,771","107,771","107,723","107,273","106,935"
13140,,"Beaumont-Port Arthur, TX","403,190","403,190","403,562","405,031","404,180"
13220,,"Beckley, WV","124,898","124,901","124,892","125,115","124,890"
13380,,"Bellingham, WA","201,140","201,140","201,614","203,570","205,262"
13460,,"Bend-Redmond, OR","157,733","157,733","157,895","160,083","162,277"
13740,,"Billings, MT","158,934","158,934","159,395","160,852","162,848"
13780,,"Binghamton, NY","251,725","251,725","251,443","250,293","248,538"
13820,,"Birmingham-Hoover, AL","1,128,047","1,128,050","1,129,038","1,132,403","1,136,650"
13900,,"Bismarck, ND","114,778","114,778","115,294","117,284","120,060"
13980,,"Blacksburg-Christiansburg-Radford, VA","178,237","178,237","178,434","178,628","178,933"
14010,,"Bloomington, IL","186,133","186,133","186,447","187,267","188,715"
14020,,"Bloomington, IN","159,549","159,549","160,138","161,610","162,399"
14100,,"Bloomsburg-Berwick, PA","85,562","85,563","85,612","85,161","85,243"
14260,,"Boise City, ID","616,561","616,561","618,002","627,636","637,896"
14460,,"Boston-Cambridge-Newton, MA-NH","4,552,402","4,552,402","4,563,863","4,603,344","4,640,802"
14460,14454,".Boston, MA","1,887,792","1,887,792","1,893,664","1,910,714","1,926,030"
14460,15764,".Cambridge-Newton-Framingham, MA","2,246,244","2,246,244","2,251,629","2,272,874","2,292,833"
14460,40484,".Rockingham County-Strafford County, NH","418,366","418,366","418,570","419,756","421,939"
14500,,"Boulder, CO","294,567","294,571","296,318","300,406","305,318"
14540,,"Bowling Green, KY","158,599","158,599","159,043","160,650","162,231"
14740,,"Bremerton-Silverdale, WA","251,133","251,133","251,769","254,529","254,991"
14860,,"Bridgeport-Stamford-Norwalk, CT","916,829","916,829","918,814","927,567","933,835"
15180,,"Brownsville-Harlingen, TX","406,220","406,220","407,656","412,577","415,557"
15260,,"Brunswick, GA","112,370","112,368","112,637","113,122","113,448"
15380,,"Buffalo-Cheektowaga-Niagara Falls, NY","1,135,509","1,135,511","1,135,610","1,135,494","1,134,210"
15500,,"Burlington, NC","151,131","151,087","151,470","152,801","153,920"
15540,,"Burlington-South Burlington, VT","211,261","211,262","211,558","212,875","213,701"
15680,,"California-Lexington Park, MD","105,151","105,151","105,778","107,681","108,987"
15940,,"Canton-Massillon, OH","404,422","404,422","404,217","403,164","403,455"
15980,,"Cape Coral-Fort Myers, FL","618,754","618,754","620,601","631,602","645,293"
16020,,"Cape Girardeau, MO-IL","96,275","96,275","96,403","96,980","97,080"
16060,,"Carbondale-Marion, IL","126,575","126,580","126,772","126,944","126,745"
16180,,"Carson City, NV","55,274","55,274","55,278","54,851","54,838"
16220,,"Casper, WY","75,450","75,450","75,485","76,356","78,621"
16300,,"Cedar Rapids, IA","257,940","257,940","258,364","260,893","261,761"
16540,,"Chambersburg-Waynesboro, PA","149,618","149,618","149,908","150,891","151,275"
16580,,"Champaign-Urbana, IL","231,891","231,891","232,230","233,055","233,788"
16620,,"Charleston, WV","227,078","227,071","226,947","225,977","225,954"
16700,,"Charleston-North Charleston, SC","664,607","664,608","667,606","681,684","697,439"
16740,,"Charlotte-Concord-Gastonia, NC-SC","2,217,012","2,217,035","2,223,685","2,257,134","2,296,569"
16820,,"Charlottesville, VA","218,705","218,705","219,094","221,101","222,860"
16860,,"Chattanooga, TN-GA","528,143","528,145","529,239","533,343","537,889"
16940,,"Cheyenne, WY","91,738","91,738","92,120","92,487","94,483"
16980,,"Chicago-Naperville-Elgin, IL-IN-WI","9,461,105","9,461,105","9,471,608","9,495,719","9,522,434"
16980,16974,".Chicago-Naperville-Arlington Heights, IL","7,262,718","7,262,820","7,271,029","7,293,968","7,318,387"
